sep=,
"Nombre","Saldo actual","Cuentas","Transferencias","Descripción","Beneficiario","Categoría","Fecha","Hora","Memoria","Importe","Moneda","Número de cheque","Etiquetas","Saldo"
"Roboadvisor","4595,19","EUR","","","","","","","","","","","",""
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","19/10/2024","15:33","","22,90","EUR","","Pablo; ","4171,30"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","12/10/2024","21:42","","-17,73","EUR","","Pablo; ","4148,40"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","05/10/2024","15:07","","5,55","EUR","","Pablo; ","4166,13"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","28/09/2024","12:38","","1,28","EUR","","Pablo; ","4160,58"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","21/09/2024","19:12","","4,85","EUR","","Pablo; ","4159,30"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","14/09/2024","22:17","","37,36","EUR","","Pablo; ","4154,45"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","01/09/2024","18:18","","0,18","EUR","","Pablo; ","4117,09"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","30/08/2024","17:44","","-1,03","EUR","","Pablo; ","4116,91"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","26/08/2024","6:34","","45,00","EUR","","Pablo; ","4117,94"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","25/08/2024","10:47","","9,29","EUR","","Pablo; ","4072,94"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","19/08/2024","9:03","","45,00","EUR","","Pablo; ","4063,65"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","18/08/2024","9:55","","32,37","EUR","","Pablo; ","4018,65"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","12/08/2024","8:32","","45,00","EUR","","Pablo; ","3986,28"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","11/08/2024","21:40","","-29,91","EUR","","Pablo; ","3941,28"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","05/08/2024","9:29","","45,00","EUR","","Pablo; ","3971,19"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","04/08/2024","10:35","","8,87","EUR","","Pablo; ","3926,19"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","31/07/2024","23:45","","48,04","EUR","","Pablo; ","3917,32"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","29/07/2024","8:49","","45,00","EUR","","Pablo; ","3869,28"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","27/07/2024","18:34","","-25,70","EUR","","Pablo; ","3824,28"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","22/07/2024","20:30","","45,00","EUR","","Pablo; ","3849,98"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","21/07/2024","14:06","","4,16","EUR","","Pablo; ","3804,98"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","15/07/2024","22:19","","45,00","EUR","","Pablo; ","3800,82"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","14/07/2024","17:47","","14,27","EUR","","Pablo; ","3755,82"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","09/07/2024","23:00","","18,53","EUR","","Pablo; ","3741,55"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","08/07/2024","22:59","","45,00","EUR","","Pablo; ","3723,02"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","01/07/2024","17:03","","45,00","EUR","","Pablo; ","3678,02"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","30/06/2024","12:05","","-15,19","EUR","","Pablo; ","3633,02"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","27/06/2024","7:47","","15,18","EUR","","Pablo; ","3648,21"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","24/06/2024","7:45","","45,00","EUR","","Pablo; ","3633,03"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","18/06/2024","7:44","","45,00","EUR","","Pablo; ","3588,03"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","16/06/2024","13:59","","3,31","EUR","","Pablo; ","3543,03"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","10/06/2024","9:35","","45,00","EUR","","Pablo; ","3539,72"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","09/06/2024","9:34","","43,69","EUR","","Pablo; ","3494,72"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","03/06/2024","8:46","","45,00","EUR","","Pablo; ","3451,03"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","02/06/2024","7:59","","0,25","EUR","","Pablo; ","3406,03"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","31/05/2024","19:42","","-18,71","EUR","","Pablo; ","3405,78"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","27/05/2024","23:23","","45,00","EUR","","Pablo; ","3424,49"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","25/05/2024","22:34","","-26,17","EUR","","Pablo; ","3379,49"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","20/05/2024","8:04","","45,00","EUR","","Pablo; ","3405,66"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","18/05/2024","18:53","","44,62","EUR","","Pablo; ","3360,66"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","13/05/2024","21:16","","45,00","EUR","","Pablo; ","3316,04"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","11/05/2024","7:17","","31,17","EUR","","Pablo; ","3271,04"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","06/05/2024","10:44","","45,00","EUR","","Pablo; ","3239,87"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","04/05/2024","20:32","","-12,17","EUR","","Pablo; ","3194,87"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","30/04/2024","22:53","","25,12","EUR","","Pablo; ","3207,04"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","29/04/2024","7:51","","45,00","EUR","","Pablo; ","3181,92"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","27/04/2024","14:00","","9,82","EUR","","Pablo; ","3136,92"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","22/04/2024","7:46","","45,00","EUR","","Pablo; ","3127,10"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","20/04/2024","12:27","","-87,33","EUR","","Pablo; ","3082,10"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","15/04/2024","8:57","","45,00","EUR","","Pablo; ","3169,43"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","13/04/2024","9:48","","51,28","EUR","","Pablo; ","3124,43"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","08/04/2024","8:41","","45,00","EUR","","Pablo; ","3073,15"
